city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Kaštel Sućurac,43.5500,16.4261,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Sveta Nedjelja,45.7983,15.7806,Croatia,HR,Zagrebačka Županija,minor,,
Okrug Gornji,43.4969,16.2200,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Privlaka,44.2590,15.1290,Croatia,HR,Zadarska Županija,minor,,
Donji Seget,43.5167,16.2333,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Petrovsko,46.1600,15.8400,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Sveti Ilija,46.2450,16.3381,Croatia,HR,Varaždinska Županija,minor,,
Pribislavec,46.3925,16.4825,Croatia,HR,Međimurska Županija,minor,,
Srebreno,42.6233,18.1961,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,,
Vir,44.3034,15.0855,Croatia,HR,Zadarska Županija,minor,,
Hum na Sutli,46.2139,15.6903,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Vidovec,46.2833,16.2411,Croatia,HR,Varaždinska Županija,minor,,
Sveti Križ Začretje,46.0800,15.9100,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Galovac,44.0714,15.3933,Croatia,HR,Zadarska Županija,minor,,
Poljanica Bistranska,45.9000,15.8833,Croatia,HR,Zagrebačka Županija,minor,,
Ðurmanec,46.2000,15.8400,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Vrsar,45.1500,13.6100,Croatia,HR,Istarska Županija,minor,,
Selnica,46.4961,16.4036,Croatia,HR,Međimurska Županija,minor,,
Kali,44.0633,15.2067,Croatia,HR,Zadarska Županija,minor,,
Špišić-Bukovica,45.8561,17.3000,Croatia,HR,Virovitičko-Podravska Županija,minor,,
Bilice,43.7753,15.9181,Croatia,HR,Šibensko-Kninska Županija,minor,,
Zmijavci,43.4108,17.2056,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Krapinske Toplice,46.1000,15.8500,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Lumbarda,42.9220,17.1700,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,,
Sveti Filip i Jakov,43.9614,15.4248,Croatia,HR,Zadarska Županija,minor,,
Gornja Stubica,45.9600,16.0300,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Radoboj,46.1664,15.9236,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Belica,46.4042,16.5183,Croatia,HR,Međimurska Županija,minor,,
Podbablje,43.4169,17.1761,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Vinica,46.3361,16.1494,Croatia,HR,Varaždinska Županija,minor,,
Kraljevec na Sutli,45.9800,15.7300,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Donja Dubrava,46.3147,16.8119,Croatia,HR,Međimurska Županija,minor,,
Dubravica,45.9500,15.7333,Croatia,HR,Zagrebačka Županija,minor,,
Rugvica,45.7361,16.2331,Croatia,HR,Zagrebačka Županija,minor,,
Mače,46.0900,16.0300,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Koprivnički Bregi,46.1333,16.9000,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Škabrnje,44.0916,15.4516,Croatia,HR,Zadarska Županija,minor,,
Konjšćina,46.0700,16.1800,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Murter,43.8204,15.5899,Croatia,HR,Šibensko-Kninska Županija,minor,,
Vrsi,44.2667,15.2333,Croatia,HR,Zadarska Županija,minor,,
Novi Golubovec,46.1800,15.9800,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Lobor,46.1500,16.0600,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Zlatar,46.1500,16.1167,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Pakoštane,43.9094,15.5081,Croatia,HR,Zadarska Županija,minor,,
Klinča Sela,45.6800,15.7500,Croatia,HR,Zagrebačka Županija,minor,,
Klenovnik,46.2700,16.0700,Croatia,HR,Varaždinska Županija,minor,,
Donja Voća,46.3000,16.1000,Croatia,HR,Varaždinska Županija,minor,,
Antunovac,45.4900,18.6800,Croatia,HR,Osječko-Baranjska Županija,minor,,
Pitomača,45.9506,17.2294,Croatia,HR,Virovitičko-Podravska Županija,minor,,
Desinić,46.1400,15.6600,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Gornje Jesenje,46.2064,15.9125,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Kloštar Podravski,45.9833,17.1500,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Podravske Sesvete,46.0000,17.2167,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Posedarje,44.2167,15.4833,Croatia,HR,Zadarska Županija,minor,,
Polača,44.0167,15.5167,Croatia,HR,Zadarska Županija,minor,,
Otok,43.6914,16.7383,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Ðurđenovac,45.5400,18.0500,Croatia,HR,Osječko-Baranjska Županija,minor,,
Virje,46.0672,16.9900,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Poličnik,44.1833,15.3833,Croatia,HR,Zadarska Županija,minor,,
Mihovljan,46.1331,15.9722,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Peteranec,46.2000,16.8833,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Ljubešćica,46.1667,16.3833,Croatia,HR,Varaždinska Županija,minor,,
Donji Proložac,43.4667,17.1500,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Orle,45.6800,16.2300,Croatia,HR,Zagrebačka Županija,minor,,
Žminj,45.1500,13.9167,Croatia,HR,Istarska Županija,minor,,
Hrašćina,46.1100,16.2200,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Vuka,45.4339,18.5050,Croatia,HR,Osječko-Baranjska Županija,minor,,
Novigrad,44.1942,15.5567,Croatia,HR,Zadarska Županija,minor,,
Sveti Ivan Žabno,45.9500,16.6167,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Sveti Petar Orehovec,46.0833,16.4500,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Gornja Rijeka,46.1167,16.4000,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Kamanje,45.6333,15.4000,Croatia,HR,Karlovačka Županija,minor,,
Dubrava,45.8381,16.5439,Croatia,HR,Zagrebačka Županija,minor,,
Molve,46.1167,17.0333,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Kalnik,46.1167,16.4667,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Raša,45.0806,14.0847,Croatia,HR,Istarska Županija,minor,,
Pašman,43.9569,15.3800,Croatia,HR,Zadarska Županija,minor,,
Kalinovac,46.0333,17.1167,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Sutivan,43.3833,16.4833,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Zadvarje,43.4314,16.8897,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Zemunik Donji,44.1067,15.3806,Croatia,HR,Zadarska Županija,minor,,
Novo Virje,46.0983,17.1550,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Hercegovac,45.6667,17.0167,Croatia,HR,Bjelovarsko-Bilogorska Županija,minor,,
Gradec,45.9111,16.4828,Croatia,HR,Zagrebačka Županija,minor,,
Kraj,43.6375,16.5819,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Draganići,45.6000,15.6000,Croatia,HR,Karlovačka Županija,minor,,
Lukač,45.8700,17.4200,Croatia,HR,Virovitičko-Podravska Županija,minor,,
Otok,45.1467,18.8839,Croatia,HR,Vukovarsko-Srijemska Županija,minor,,
Hlebine,46.1539,16.9661,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Blato,42.9408,16.7917,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,,
Kaptol,45.4347,17.7261,Croatia,HR,Požeško-Slavonska Županija,minor,,
Klis,43.5667,16.5167,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Lećevica,43.6489,16.3489,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Novigrad Podravski,46.0833,16.9500,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Marina,43.5141,16.1082,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Rakovec,45.9303,16.3225,Croatia,HR,Zagrebačka Županija,minor,,
Ferdinandovac,46.0500,17.2000,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Gola,46.1958,17.0581,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Pićan,45.2000,14.0500,Croatia,HR,Istarska Županija,minor,,
Popovac,45.8092,18.6583,Croatia,HR,Osječko-Baranjska Županija,minor,,
Grohote,43.3833,16.2833,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Stankovci,43.9167,15.7000,Croatia,HR,Zadarska Županija,minor,,
Severin,45.8369,16.9592,Croatia,HR,Bjelovarsko-Bilogorska Županija,minor,,
Gorjani,45.4000,18.3700,Croatia,HR,Osječko-Baranjska Županija,minor,,
Nova Kapela,45.1989,17.6392,Croatia,HR,Brodsko-Posavska Županija,minor,,
Gradina,45.8550,17.5072,Croatia,HR,Virovitičko-Podravska Županija,minor,,
Milna,43.4000,16.3267,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Štefanje,45.8000,16.7200,Croatia,HR,Bjelovarsko-Bilogorska Županija,minor,,
Žakanje,45.6000,15.3400,Croatia,HR,Karlovačka Županija,minor,,
Rasinja,46.1839,16.7067,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Kolan,44.4833,14.9500,Croatia,HR,Zadarska Županija,minor,,
Lekenik,45.5833,16.2167,Croatia,HR,Sisačko-Moslavačka Županija,minor,,
Podgora,43.2433,17.0772,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Pisarovina,45.5872,15.8583,Croatia,HR,Zagrebačka Županija,minor,,
Velika Ludina,45.6000,16.6000,Croatia,HR,Sisačko-Moslavačka Županija,minor,,
Kapela,45.9881,16.8517,Croatia,HR,Bjelovarsko-Bilogorska Županija,minor,,
Bribir,45.1611,14.7647,Croatia,HR,Primorsko-Goranska Županija,minor,,
Kula Norinska,43.0290,17.6050,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,,
Pakrac,45.4389,17.1917,Croatia,HR,Požeško-Slavonska Županija,minor,,
Primorski Dolac,43.6308,16.1761,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Lokvičič,43.5000,17.0600,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Generalski Stol,45.3400,15.3800,Croatia,HR,Karlovačka Županija,minor,,
Šandrovac,45.9000,17.0167,Croatia,HR,Bjelovarsko-Bilogorska Županija,minor,,
Sokolovac,46.1108,16.7064,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
