city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Mojdež,42.4851,18.4907,Montenegro,ME,Herceg Novi,,264,264
Donji Morinj,42.4892,18.6491,Montenegro,ME,Kotor,,261,261
Potrk,43.0447,19.6144,Montenegro,ME,Bijelo Polje,,259,259
Donji Orahovac,42.4905,18.7593,Montenegro,ME,Kotor,,257,257
Ponari,42.3167,19.1813,Montenegro,ME,Podgorica,,256,256
Lekovina,43.1519,19.6125,Montenegro,ME,Bijelo Polje,,256,256
Kalušići,43.2414,19.0850,Montenegro,ME,Pljevlja,,256,256
Savin Bor,42.9498,20.0441,Montenegro,ME,Petnjica,,255,255
Srđevac,42.9544,19.8519,Montenegro,ME,Bijelo Polje,,255,255
Pothum,42.3097,19.3386,Montenegro,ME,Tuzi,,253,253
Vijenac,43.3885,19.0952,Montenegro,ME,Pljevlja,,246,246
Murino,42.6619,19.8857,Montenegro,ME,Plav,,245,245
Otilovići,43.3433,19.4230,Montenegro,ME,Pljevlja,,245,245
Tomaševo,43.0578,19.6364,Montenegro,ME,Bijelo Polje,,243,243
Daljam,42.4866,19.1793,Montenegro,ME,Podgorica,,241,241
Kruševice,42.5346,18.4944,Montenegro,ME,Herceg Novi,,240,240
Fundina,42.4438,19.3643,Montenegro,ME,Podgorica,,237,237
Šipačno,42.8708,18.9431,Montenegro,ME,Nikšić,,237,237
Paučina,42.9320,20.1537,Montenegro,ME,Rožaje,,236,236
Bobulja,42.5536,19.1636,Montenegro,ME,Danilovgrad,,235,235
Kotrabudan,42.3180,19.3271,Montenegro,ME,Tuzi,,233,233
Velje Selo,42.0330,19.1983,Montenegro,ME,Bar,,233,233
Bratica,41.9513,19.1950,Montenegro,ME,Ulcinj,,233,233
Boreti,42.2837,18.8630,Montenegro,ME,Budva,,231,231
Gornja Brvenica,43.3786,19.2353,Montenegro,ME,Pljevlja,,231,231
Stevanovac,42.9903,19.5465,Montenegro,ME,Mojkovac,,230,230
Kolonza,41.9406,19.2409,Montenegro,ME,Ulcinj,,228,228
Ubli,42.4906,19.3958,Montenegro,ME,Podgorica,,227,227
Zagrađe,42.8710,19.9351,Montenegro,ME,Berane,,226,226
Vrševo,42.9444,19.9597,Montenegro,ME,Petnjica,,226,226
Godočelje,42.9159,19.9401,Montenegro,ME,Petnjica,,225,225
Ulotina,42.6833,19.8459,Montenegro,ME,Andrijevica,,225,225
Trebesinj,42.4723,18.5239,Montenegro,ME,Herceg Novi,,224,224
Žiljak,43.0747,19.8219,Montenegro,ME,Bijelo Polje,,222,222
Bjeloševina,42.7204,19.1375,Montenegro,ME,Nikšić,,217,217
Gošići,42.3975,18.6624,Montenegro,ME,Tivat,,212,212
Stanjevića Rupa,42.5386,19.2196,Montenegro,ME,Danilovgrad,,211,211
Zbljevo,43.3231,19.3039,Montenegro,ME,Pljevlja,,209,209
Vranjina,42.2783,19.1347,Montenegro,ME,Podgorica,,209,209
